text,author,reply,retweet,like,date,cleaned_text,non_baku
*Jaksa Agung ST Burhanuddin Gunakan Hak Pilih dalam Pemilu 2024*,Romyfanboy Fanboy,0,0,0,2024-02-15T12:16:01.000Z,*Jaksa Agung ST Burhanuddin Gunakan Hak Pilih dalam Pemilu 2024*,
"PPK Pontianak Kota Mulai Pleno Malam Ini  https://rri.co.id/pemilu/558812/ppk-pontianak-kota-mulai-pleno-malam-ini

#tps #pleno #suratsuara #Pemilu2024",RRI Pro1 Pontianak,0,0,0,2024-02-15T11:53:11.000Z,PPK Pontianak Kota Mulai Pleno Malam Ini           ,
"Hasil KECURANGAN
di TENDANG
mentok di
EMPAT PULUH DUA PERSEN
      42%

tidak usah bertanya...
mereka malu atau tdk yah?

MALUNYA SUDAH LAMA HILANG
sejak lahirnya
""anak haram konstitusi""...

CERITA GELAP PEMILU 2024

tertanda :
sutradara rakyat merdeka ...",yoyo gundero,0,1,1,2024-02-15T11:57:53.000Z,"Hasil KECURANGAN di TENDANG mentok di EMPAT PULUH DUA PERSEN       42%  tidak usah bertanya... mereka malu atau tdk yah?  MALUNYA SUDAH LAMA HILANG sejak lahirnya ""anak haram konstitusi""...  CERITA GELAP PEMILU 2024  tertanda : sutradara rakyat merdeka ...",
"Semakin di Depan! Komeng Raup 200 Ribu Suara, Salip Jihan Fahira dan Aceng Fikri Cs di Pemilihan DPD RI

Baca Selengkapnya: https://sakapedia.com/semakin-di-depan-komeng-raup-200-ribu-suara-salip-jihan-fahira-dan-aceng-fikri-cs-di-pemilihan-dpd-ri/ 

#sakapedia #NewsUpdate  #NewsUpdates  #BreakingNews  #Pemilu2024  #PemiluSerentak2024  #PemiluDamai2024  #PemiluBelumUsai",Sudah Divaksin,0,0,1,2024-02-15T12:08:38.000Z,"Semakin di Depan! Komeng Raup 200 Ribu Suara, Salip Jihan Fahira dan Aceng Fikri Cs di Pemilihan DPD RI  Baca Selengkapnya:                         ",
"Tokoh-tokoh di Papua mengajak masyarakat untuk menggunakan hak suaranya karena Pemilu adalah ajang yang tepat untuk mencari pemimpin secara demokratis
#Pemilu2024 #TolakGolput #SistemNoken #PapuaNKRI",Candra Lepi,0,0,0,2024-02-15T12:03:12.000Z,Tokoh-tokoh di Papua mengajak masyarakat untuk menggunakan hak suaranya karena Pemilu adalah ajang yang tepat untuk mencari pemimpin secara demokratis        ,
"Jawabannya ngak ada yg realistis harusnya ada jawaban ""Karena Banyak Kecurangan dalam Pemilu 2024""",Zaki Maulana,0,0,0,2024-02-15T12:09:26.000Z,"Jawabannya ngak ada yg realistis harusnya ada jawaban ""Karena Banyak Kecurangan dalam Pemilu 2024""",
"Bismillah yok 2 putarannn bisa
#Pemilu2024",Fajar,0,0,2,2024-02-15T11:52:37.000Z,Bismillah yok 2 putarannn bisa  ,
#GaleriFoto: Tren Positif IHSG Setelah Pelaksanaan Pemilu 2024 #AdadiKompas,Kompas Muda,0,0,0,2024-02-15T11:50:38.000Z, : Tren Positif IHSG Setelah Pelaksanaan Pemilu 2024  ,
Pemilu 2024 (anggap aja) udah selesai deh. Balik lagi ke main account ah. ,◡̈,0,0,0,2024-02-15T11:54:44.000Z,Pemilu 2024 (anggap aja) udah selesai deh. Balik lagi ke main account ah. ,
"Terpantau lancar dan aman listrik selama pemilu 2024 berlangsung, thanks PLN atas kerjanya untuk siaga dan nyaipin segala hal kelistrikan dr jauh-jauh hari.
#PLNuntukIndonesia

Song Kang Komeng",jstmay,0,0,1,2024-02-15T12:05:20.000Z,"Terpantau lancar dan aman listrik selama pemilu 2024 berlangsung, thanks PLN atas kerjanya untuk siaga dan nyaipin segala hal kelistrikan dr jauh-jauh hari.    Song Kang Komeng",
